date,id,content,username,like count,retweet count
2023-05-18 08:36:12+00:00,1659115656640430081,"The Scottish parliament organised an event yesterday to mark the 75th anniversary of Palestinian Nakba, which was attended by H. E. Ambassador @hzomlot #Nakba75 #NakbDay #Palestine https://t.co/uC1WX8KaxR",PalMissionUK,17,9
2023-05-18 08:35:46+00:00,1659115548381159424,"@Cobratate I would give it to charity in #Palestine 🇵🇸, Turkey and Syria, in big masjid in norway, and many masjids and madrasa’s in my country, along with the orphanages that I give to and know of which needs serious help. Ps. I live in India.",Abbrizz,0,0
2023-05-18 08:33:26+00:00,1659114961895817217,"""Provocations against #Muslims in #AlAqsa are provocations against all #Palestinians of #AlQuds, #Muslim and #Christian.""  

Archbishop of #Sebastia from the Greek #Orthodox Patriarchate of #Al-Quds Atallah Hanna to #AlMayadeen. 

#Palestine 
#RaiseYourFlag",MayadeenEnglish,0,1
2023-05-18 08:31:11+00:00,1659114397602594818,"Israeli undercover forces execute two Palestinians in Jenin, killing a teen passing by #Btselem #Palestine https://t.co/HPgDUmE68D",Eye_On_Gaza,0,0
2023-05-18 08:30:10+00:00,1659114141234110464,"📣 Have you read the latest from the RACE.ED Blog?

'A personal reflection on Nakba Day' by @RayyaGhul

#NakbaDay #Palestine @uoessps @SVadasaria @katuchabento 

Read the post ➡️
https://t.co/E6mw4YrCKT",RaceEDS,0,1
2023-05-18 08:29:39+00:00,1659114009260441602,Part of the herds of settlers storming Al- #Aqsa Mosque #Palestine 🇵🇸 this morning. https://t.co/C1FmaH0dea,alrafieibrahim,0,0
2023-05-18 08:27:32+00:00,1659113475476520962,"Israeli  #Knesset members and a minster broke into #AlAqsa mosque under the protection of occupation forces. 
.
.
.
.
#PalestinianLivesMatter #palestine #حركة_النقل_الخارجي #دوري_أبطال_أوروبا https://t.co/ocwWtnGvh8",Palestine1187,0,0
2023-05-18 08:26:33+00:00,1659113230445207555,"the unhuman #israel , terrorist, fascist,  dictator, racist. Save #palestine",Khairul80938329,0,0
2023-05-18 08:24:34+00:00,1659112731843129344,"But with another round of fighting between Israel and Gaza militants ending only last weekend, appetite for escalation appears low.

#MalaysiaNow #MNow #MNowNews #Malaysia #Israel #Palestine #Gaza 

https://t.co/2rAsVEdHZL",MNowNews,0,0
2023-05-18 08:19:32+00:00,1659111465406668800,"@TigayBarry @StateSEAS Even more disturbing is when European Zionist colonists turned up in #Palestine they considered the native Jews no different to the other dark skinned indigenous 'savages.' They brought the evil of European racism &amp; anti-Semitism with them to #Palestine

https://t.co/LoaV1CIU4n",Monty_LFC,0,0
2023-05-18 08:19:23+00:00,1659111428207288322,"If the call was for Ukraine, we would have found clear support for them. This is an open disregard for the oppressed in Palestine.  The world has become full of obvious double standards !! @BrindonMwiine
#Nakba75 
#Palestine https://t.co/xRvcz3lvqr",rwan0599,1,1
2023-05-18 08:17:07+00:00,1659110853856067586,"#Palestine is Canaan land, its African, its black. Its located in the North East Africa ...",HibaYousifB,0,0
2023-05-18 08:14:11+00:00,1659110115843227652,"Got this today as a memory on facebook from 2 years ago, and nothing has changed since then! Still applicable, still ongoing #EthnicCleansing of #Palestine .   #Nakba #Nakba75  #IsraeliOccupation https://t.co/xQwDdz1Ttw",umyaznemo,18,9
2023-05-18 08:12:17+00:00,1659109640410464258,"Genuine and sincere question #brainstrust

Where can I go to find out more about the conflict/troubles between #Palestine and #Israel?
Want to find out more but looking for something impartial/independent/balanced? Everything that I read tends to favour one side or the other TIA",MojoTheKelpie,2,1
2023-05-18 08:10:26+00:00,1659109175157202944,"The banner of #Palestine will remain fluttering ,, our steadfastness will remain greater than their presence ,, we are the homeland and they are just an Occupation. #ارفع_علمك https://t.co/eZzFBzQQiL",kw_9960,3,1
2023-05-18 08:09:29+00:00,1659108936367190017,@AJEnglish The World is normal excluding  @AJEnglish #Palestine  and #Pakistan,Virendraahd1,0,0
2023-05-18 08:07:29+00:00,1659108430886445057,"Her crime is being a Palestinian woman 
Occupies #Palestine 🇵🇸 
#Apartheidisrael https://t.co/FAK4U937wa",Bsonja5,100,100
2023-05-18 08:07:06+00:00,1659108336430620674,"""The #FlagMarch comes at a time when the Knesset is outlawing the raising of the #Palestinian flag in the #WestBank"" 

Archbishop of #Sebastia from the Greek #Orthodox Patriarchate of #AlQuds Atallah Hanna to #AlMayadeen.

#Palestine 
#RaiseYourFlag",MayadeenEnglish,0,1
2023-05-18 08:04:59+00:00,1659107803468890113,"""Proud to support #Palestine on behalf of @sinnfeinireland at massive #Nakba75 march in #London. Happy to inform crowd of SF bill to divest Irish gov investment in illegal settlements. Only international pressure will stop #IsraeliApartheid.""

Irish TD, @mattcarthy https://t.co/KDE28jLlCg",Act4pal1,4,3
2023-05-18 08:04:54+00:00,1659107782660956161,"Allah Response To Atheists

#allah #muslim #vs #questions #atheists #response #zakirnaik #theist #palestine #challenge #israel #middleeast #alidawah #atheism #apostate #prophet #islam #prove #god #existence #towardseternity #christian  #islamic #reminder #amazing #quran https://t.co/oSAkEYpFgO",LionMotivation7,0,0
2023-05-18 08:03:48+00:00,1659107506428211202,"Our Palestinian flag will always be raised high symbolizing to Palestinian identity &amp; existence on #Palestine 
🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸",RihamJafari,0,0
2023-05-18 08:03:35+00:00,1659107450228801537,"Israeli occupation troops assault Palestinians in the old city of occupied Jerusalem.
#AlAqsa #Jerusalem #Palestine #Flagmarch https://t.co/EkgcWnUyxo",saidshouib_,7,8
2023-05-18 08:01:35+00:00,1659106947604332545,Good morning from #Palestine! Tweet us your best pictures with #PalestineInPictures.,PalestinePolo,0,0
2023-05-18 07:59:16+00:00,1659106364440944641,"All the young #artists are out in force this morning in #Shatila, #Beirut. Making the most of the early morning protection before the sun hits, they work hard to create their own #LearningWalls ❤️ #art #Palestine ❤️🇵🇸❤️ https://t.co/KN6BnbMqOn",MrKobayaashi,2,0
